Algorithm,Top-N,MoviesPerPage,ThresholdRating,TotalIDs,ParameterTest,ParameterValue,OtherParameters,TotalTime/s,MeanTime/s,MAE,RMSE,Coverage,Diversity,Novelty,LOOCV_HR,Validation_HR,Cumulative_HR,MeanReciprocal_HR,ActualRating_HR
User-Based CF,30,5,3,706,threshold,0,"{'neighbours': 100, 'sample': 100, 'pred': 'calc'}",961.7394438,1.362237173,0.575444205,0.64787924,0.215089303,0.546162392,0.010699209,0.014164306,0.118555241,0.118555241,0.056207901,"{0.5: 3.7292434121865824e-05, 1.0: 0.00019252590476619375, 1.5: 0.00020159857965335257, 2.0: 0.0006861341289177059, 2.5: 0.0008859502512429501, 3.0: 0.0041239514793797605, 3.5: 0.004718616678405984, 4.0: 0.012644112329913375, 4.5: 0.00750869355822318, 5.0: 0.010365533644828251}"
Item-Based KNN,30,5,3,706,threshold,0,"{'neighbours': 100, 'sample': 100, 'pred': 'calc'}",4479.777752,6.345294267,0.739910943,0.861658449,0.131564279,0.277319298,0.004884671,0.036827195,0.105476865,0.105429651,0.043465534,"{0.5: 0.0003369571018149142, 1.0: 0.00037116698953850705, 1.5: 0.0002854547480061257, 2.0: 0.0008101790534942503, 2.5: 0.0011863373997349417, 3.0: 0.006093508534268692, 3.5: 0.006289781389830591, 4.0: 0.015639053292404333, 4.5: 0.007408132513857183, 5.0: 0.009778187908130755}"
User-Based KNN,30,5,3,706,threshold,0,"{'neighbours': 100, 'sample': 100, 'pred': 'calc'}",494.2014019,0.700001986,0.810835327,0.916819372,0.131298934,0.556638303,0.014917658,0.015580737,0.209442871,0.204721435,0.096496695,"{0.5: 0.00027386625785577525, 1.0: 0.0006187254457395647, 1.5: 0.0003328742770716746, 2.0: 0.0014732171605870469, 2.5: 0.0016610139256268358, 3.0: 0.009494856493928318, 3.5: 0.008305390175182297, 4.0: 0.026315609586604814, 4.5: 0.01218449821293354, 5.0: 0.021896555824039068}"
Item-Based CF,30,5,3,706,threshold,0.5,"{'neighbours': 100, 'sample': 100, 'pred': 'calc'}",77.3217859,0.109520943,0.756949396,0.924257337,0.297835694,0.443855737,0.080490939,0.036827195,0.192540132,0.192445703,0.090886056,"{0.5: 0.0002485077238288446, 1.0: 0.0008305404918947037, 1.5: 0.0005651906317143042, 2.0: 0.0026302442594590704, 2.5: 0.002399054290902282, 3.0: 0.012582344526477636, 3.5: 0.009974753935763867, 4.0: 0.028190835489605676, 4.5: 0.012717469803648304, 5.0: 0.016868314355659404}"
User-Based CF,30,5,3,706,threshold,0.5,"{'neighbours': 100, 'sample': 100, 'pred': 'calc'}",978.6224318,1.386150753,0.572701765,0.646387208,0.215001349,0.544950504,0.010747142,0.014164306,0.117705382,0.117705382,0.055522506,"{0.5: 9.637732187167306e-05, 1.0: 0.00021976495466813318, 1.5: 0.0001912822015176407, 2.0: 0.0006070498151481943, 2.5: 0.0008857506196141059, 3.0: 0.004041016974956399, 3.5: 0.0047325275475459385, 4.0: 0.012585831484566507, 4.5: 0.0074356130313373535, 5.0: 0.010368462541410892}"
Item-Based KNN,30,5,3,706,threshold,0.5,"{'neighbours': 100, 'sample': 100, 'pred': 'calc'}",4527.606072,6.413039762,0.739910943,0.861658449,0.131564279,0.277319298,0.004884671,0.036827195,0.105476865,0.105429651,0.043465534,"{0.5: 0.0003369571018149142, 1.0: 0.00037116698953850705, 1.5: 0.0002854547480061257, 2.0: 0.0008101790534942503, 2.5: 0.0011863373997349417, 3.0: 0.006093508534268692, 3.5: 0.006289781389830591, 4.0: 0.015639053292404333, 4.5: 0.007408132513857183, 5.0: 0.009778187908130755}"
User-Based KNN,30,5,3,706,threshold,0.5,"{'neighbours': 100, 'sample': 100, 'pred': 'calc'}",491.8571803,0.696681558,0.811165542,0.917438608,0.131296101,0.556665457,0.014904982,0.015580737,0.209490085,0.204674221,0.096585615,"{0.5: 0.00025846012416041336, 1.0: 0.0005758033065001451, 1.5: 0.00031524554131262723, 2.0: 0.0015251040504271048, 2.5: 0.0016300821585431588, 3.0: 0.009499003104182, 3.5: 0.008338718568488218, 4.0: 0.02625706937078538, 4.5: 0.012180486385918357, 5.0: 0.02196202510034636}"
Item-Based CF,30,5,3,706,threshold,1,"{'neighbours': 100, 'sample': 100, 'pred': 'calc'}",75.9978234,0.107645642,0.757150972,0.924733918,0.297791717,0.443858971,0.080490939,0.036827195,0.192540132,0.192445703,0.090884482,"{0.5: 0.0002485077238288446, 1.0: 0.0008305404918947037, 1.5: 0.0005651906317143042, 2.0: 0.0026302442594590704, 2.5: 0.002399054290902282, 3.0: 0.012582344526477636, 3.5: 0.009974753935763867, 4.0: 0.028190835489605676, 4.5: 0.012717469803648304, 5.0: 0.016868314355659404}"
User-Based CF,30,5,3,706,threshold,1,"{'neighbours': 100, 'sample': 100, 'pred': 'calc'}",964.4645497,1.366097096,0.5771967,0.653992696,0.216081209,0.546236776,0.010777414,0.012747875,0.115958451,0.115958451,0.055302172,"{0.5: 6.82594707491454e-05, 1.0: 0.00020589857226490927, 1.5: 0.00025774133338372007, 2.0: 0.000711164801129022, 2.5: 0.000930685239292749, 3.0: 0.00400275781667004, 3.5: 0.004640082189542683, 4.0: 0.012378564078736665, 4.5: 0.007517954392364111, 5.0: 0.00987269402710551}"
Item-Based KNN,30,5,3,706,threshold,1,"{'neighbours': 100, 'sample': 100, 'pred': 'calc'}",4482.786624,6.349556125,0.739983366,0.86182727,0.131529475,0.277327619,0.004884514,0.036827195,0.105476865,0.105476865,0.043478911,"{0.5: 0.0003369571018149142, 1.0: 0.00037116698953850705, 1.5: 0.0002854547480061257, 2.0: 0.0008101790534942503, 2.5: 0.0011863373997349417, 3.0: 0.006093508534268692, 3.5: 0.006289781389830591, 4.0: 0.015639053292404333, 4.5: 0.007408132513857183, 5.0: 0.009778187908130755}"
