Traffic Day,Traffic New or Returning Visitor,Traffic Referring Category Ø,Traffic Referring Site Ø,Traffic Referring URL,Traffic UTM Campaign Name Ø,Traffic UTM Campaign Medium Ø,Traffic UTM Campaign Source Ø,Traffic Page Path Ø,Traffic Page URL,Traffic Country,Traffic Region,Traffic City,Traffic Device Type,Traffic Browser,Traffic Browser Version,Traffic Operating System,Traffic Is the First Page Viewed Ø (Yes / No),Traffic Is the Last Page Viewed Ø (Yes / No),Traffic Next Page Viewed Ø,Traffic Previous Page Viewed Ø,Traffic Page Views,Traffic Site Sessions Ø,Traffic Unique Visitors,Traffic Site Bounce Rate Ø,Traffic Avg. Session Duration Ø,Traffic Avg. Time on Page Ø,Traffic Avg. Pages per Session Ø
21/10/2020,New Visitor,Direct,Direct,N/A,_,_,_,/,https://jorjmakesmusic.com,N/A,N/A,N/A,Desktop,Chrome,71.0.3563.0,Linux,Yes,Yes,N/A,N/A,1,1,1,1,0,0,1
07/05/2020,New Visitor,Social,facebook.com,http://m.facebook.com/,_,_,_,/,http://jorjmakesmusic.com,United Kingdom,N/A,N/A,Mobile,Chrome,268.1.0.54.121,Android,Yes,Yes,N/A,N/A,1,1,1,1,0,0,1
30/10/2020,New Visitor,Direct,Direct,N/A,_,_,_,/,https://jorjmakesmusic.com,N/A,N/A,N/A,Desktop,Chrome,79.0.3945.0,Linux,Yes,Yes,N/A,N/A,1,1,1,1,0,0,1
05/05/2020,New Visitor,Direct,Direct,N/A,_,_,_,/,http://jorjmakesmusic.com,United Kingdom,NGM,Nottingham,Desktop,Chrome,81.0.4044.129,Windows,Yes,Yes,N/A,N/A,1,1,1,1,0,0,1
06/05/2020,New Visitor,Social,facebook.com,http://m.facebook.com,_,_,_,/,http://jorjmakesmusic.com,United Kingdom,RDB,Ilford,Mobile,Safari,N/A,Mac OS,Yes,Yes,N/A,N/A,1,1,1,1,0,0,1
19/10/2020,New Visitor,Organic Search,google.com,https://google.com/,_,_,_,/,https://jorjmakesmusic.com,United Kingdom,GLG,Glasgow,Tablet,Chrome,85.0.4183.92,iOS,No,Yes,N/A,/video,1,1,1,0,0.000949074,0,1
02/05/2020,New Visitor,Social,facebook.com,https://l.facebook.com,_,_,_,/about,http://jorjmakesmusic.com/about,United Kingdom,MRT,Wimbledon,Desktop,Safari,13.1,Mac OS,No,Yes,N/A,/news,1,1,1,0,0.000821759,0,1
09/07/2020,New Visitor,Direct,Direct,N/A,_,_,_,/,https://jorjmakesmusic.com,United Kingdom,MRT,Raynes Park,Desktop,Chrome,83.0.4103.116,Mac OS,Yes,Yes,N/A,N/A,1,1,1,1,0,0,1
25/12/2020,New Visitor,Direct,Direct,N/A,_,_,_,/,https://jorjmakesmusic.com,United States,CA,N/A,Desktop,Chrome,76.0.3809.71,Windows,Yes,Yes,N/A,N/A,1,1,1,1,0,0,1
20/05/2020,New Visitor,Social,facebook.com,http://m.facebook.com,_,_,_,/,http://jorjmakesmusic.com,United Kingdom,N/A,N/A,Mobile,Safari,N/A,Mac OS,Yes,Yes,N/A,N/A,1,1,1,1,0,0,1
20/10/2020,New Visitor,Direct,Direct,N/A,_,_,_,/,https://jorjmakesmusic.com,United States,TX,Richardson,Desktop,Chrome,80.0.3987.149,Mac OS,Yes,Yes,N/A,N/A,1,1,1,1,0,0,1
06/05/2020,New Visitor,Social,facebook.com,https://l.facebook.com/,_,_,_,/about,http://jorjmakesmusic.com/about,United Kingdom,KEN,Ashford,Desktop,Chrome,81.0.4044.129,Mac OS,No,Yes,N/A,/maturity,1,1,1,0,0.000416667,0,1
08/07/2020,New Visitor,Social,facebook.com,https://l.facebook.com/,_,_,_,/,https://jorjmakesmusic.com/?fbclid=iwar35id1-_u6jfklfsngs_5guz4m24p9nqtk0ixipefa6-dn2y5c2u5on51a,United Kingdom,GLS,Bourton on the Water,Desktop,Chrome,83.0.4103.116,Windows,Yes,No,/video,N/A,1,1,1,0,0.000219907,0.00022,1
05/05/2020,New Visitor,Social,facebook.com,https://m.facebook.com/,_,_,_,/news,http://jorjmakesmusic.com/news,United Kingdom,ESX,Eastbourne,Mobile,Safari,13.0.5,Mac OS,No,Yes,N/A,/,1,1,1,0,0.000150463,0,1
10/12/2020,New Visitor,Social,facebook.com,https://l.facebook.com/,_,_,_,/about,https://jorjmakesmusic.com/about,United Kingdom,BNH,Brighton,Desktop,Chrome,87.0.4280.88,Mac OS,No,Yes,N/A,/video,1,1,1,0,0.000428241,0,1
05/05/2020,New Visitor,Social,facebook.com,https://m.facebook.com/,_,_,_,/,http://jorjmakesmusic.com/?fbclid=iwar09mhgqwoh4lt6hih6bsqhci1k1sneijfig8tj9kof8-3l2pwi1j_vdvko,United Kingdom,ESX,Eastbourne,Mobile,Safari,13.0.5,Mac OS,Yes,No,/news,N/A,1,1,1,0,0.000150463,5.00E-05,1
