Algorithm,Top-N,MoviesPerPage,ThresholdRating,TotalIDs,ParameterTest,ParameterValue,OtherParameters,TotalTime/s,MeanTime/s,MAE,RMSE,Coverage,Diversity,Novelty,LOOCV_HR,Validation_HR,Cumulative_HR,MeanReciprocal_HR,ActualRating_HR
Item-Based CF,30,5,3,706,sample,1650,"{'neighbours': 100, 'threshold': 2.0, 'predict': 'calc'}",246.7642467,0.349524429,0.577045253,0.715061919,0.453100769,0.401676973,0.095810778,,0.290415486,0.288101983,0.140710576,"{0.5: 0.0004887939232057023, 1.0: 0.001141463762511595, 1.5: 0.0007139010134071581, 2.0: 0.004616966366651038, 2.5: 0.004711082581315717, 3.0: 0.021087044037127994, 3.5: 0.016177893818205474, 4.0: 0.03519707558962681, 4.5: 0.012710144763722602, 5.0: 0.017569268002353932}"
Item-Based CF,30,5,3,706,sample,1700,"{'neighbours': 100, 'threshold': 2.0, 'predict': 'calc'}",247.0351532,0.349908149,0.577055156,0.715083878,0.453050857,0.401683737,0.095798004,,0.290462701,0.288149197,0.140721593,"{0.5: 0.0004887939232057023, 1.0: 0.001141463762511595, 1.5: 0.0007139010134071581, 2.0: 0.004616966366651038, 2.5: 0.004714520519652854, 3.0: 0.021087044037127994, 3.5: 0.016176151591151475, 4.0: 0.03519881781668081, 4.5: 0.012710144763722602, 5.0: 0.017569268002353932}"
Item-Based CF,30,5,3,706,sample,1750,"{'neighbours': 100, 'threshold': 2.0, 'predict': 'calc'}",247.0038035,0.349863744,0.576993975,0.715010922,0.453009982,0.401691112,0.095794658,,0.290557129,0.288243626,0.140754643,"{0.5: 0.0004887939232057023, 1.0: 0.001141463762511595, 1.5: 0.0007139010134071581, 2.0: 0.004616966366651038, 2.5: 0.004714520519652854, 3.0: 0.021087044037127994, 3.5: 0.01617863655710744, 4.0: 0.03519956055558278, 4.5: 0.012710144763722602, 5.0: 0.01757101022940793}"
Item-Based CF,30,5,3,706,sample,1800,"{'neighbours': 100, 'threshold': 2.0, 'predict': 'calc'}",247.0254583,0.349894417,0.577171251,0.715284344,0.452977202,0.401714195,0.095752907,,0.290793201,0.288479698,0.140841202,"{0.5: 0.0004887939232057023, 1.0: 0.001141463762511595, 1.5: 0.0007169471007080202, 2.0: 0.00462274771601798, 2.5: 0.004714520519652854, 3.0: 0.021089934711811465, 3.5: 0.01617863655710744, 4.0: 0.035202606642883646, 4.5: 0.012710144763722602, 5.0: 0.01757101022940793}"
Item-Based CF,30,5,3,706,sample,1850,"{'neighbours': 100, 'threshold': 2.0, 'predict': 'calc'}",246.9974041,0.34985468,0.577125813,0.71523482,0.452944557,0.4017204,0.09574699,,0.290840415,0.288526912,0.140868744,"{0.5: 0.0004887939232057023, 1.0: 0.001141463762511595, 1.5: 0.0007169471007080202, 2.0: 0.00462274771601798, 2.5: 0.004714520519652854, 3.0: 0.021089934711811465, 3.5: 0.01617863655710744, 4.0: 0.03520509160883961, 4.5: 0.012710144763722602, 5.0: 0.01757101022940793}"
Item-Based CF,30,5,3,706,sample,1900,"{'neighbours': 100, 'threshold': 2.0, 'predict': 'calc'}",246.7852323,0.349554153,0.577201693,0.715271007,0.452915554,0.401720039,0.095747871,,0.290934844,0.288621341,0.140901794,"{0.5: 0.0004887939232057023, 1.0: 0.001141463762511595, 1.5: 0.0007169471007080202, 2.0: 0.004625232681973947, 2.5: 0.004714520519652854, 3.0: 0.02109167693886546, 3.5: 0.01617863655710744, 4.0: 0.03520509160883961, 4.5: 0.012710144763722602, 5.0: 0.01757101022940793}"
Item-Based CF,30,5,3,706,sample,1950,"{'neighbours': 100, 'threshold': 2.0, 'predict': 'calc'}",246.8299239,0.349617456,0.577190346,0.715252592,0.452890732,0.401694815,0.09576324,,0.29088763,0.288574127,0.14089786,"{0.5: 0.0004887939232057023, 1.0: 0.001141463762511595, 1.5: 0.0007169471007080202, 2.0: 0.004625232681973947, 2.5: 0.004714520519652854, 3.0: 0.02109167693886546, 3.5: 0.01617863655710744, 4.0: 0.03520509160883961, 4.5: 0.012710144763722602, 5.0: 0.017569268002353932}"
Item-Based CF,30,5,3,706,sample,2000,"{'neighbours': 100, 'threshold': 2.0, 'predict': 'calc'}",247.3819985,0.350399431,0.57717349,0.715229042,0.452869688,0.401709059,0.095761167,,0.29088763,0.288574127,0.140904155,"{0.5: 0.0004887939232057023, 1.0: 0.001141463762511595, 1.5: 0.0007169471007080202, 2.0: 0.004625232681973947, 2.5: 0.004714520519652854, 3.0: 0.021089934711811465, 3.5: 0.01618037878416144, 4.0: 0.03520509160883961, 4.5: 0.012710144763722602, 5.0: 0.017569268002353932}"
Item-Based KNN,30,5,3,706,sample,10,"{'neighbours': 100, 'threshold': 2.0, 'pred': 'calc'}",431.4735151,0.611152288,0.756223373,0.806870503,0.030305949,0.153259091,0.004919817,,0.045845137,0.045845137,0.020576802,"{0.5: 7.995970035630093e-05, 1.0: 2.8674960439799675e-05, 1.5: 2.623019620186759e-05, 2.0: 0.0005115420907258419, 2.5: 0.0005393841763124768, 3.0: 0.0029104413502080754, 3.5: 0.002188364986269634, 4.0: 0.007235727767291495, 4.5: 0.0026851711857460814, 5.0: 0.0052725906943485905}"
Item-Based KNN,30,5,3,706,sample,20,"{'neighbours': 100, 'threshold': 2.0, 'pred': 'calc'}",870.1839012,1.232555101,0.773950649,0.828318882,0.046167274,0.172722401,0.004449049,,0.052455146,0.052455146,0.02289424,"{0.5: 6.299171181460915e-05, 1.0: 3.901044073426691e-05, 1.5: 7.417513896930448e-05, 2.0: 0.0004794841379056733, 2.5: 0.0006634681900154751, 3.0: 0.0029240881915680536, 3.5: 0.0024423038230094772, 4.0: 0.007816226419649264, 4.5: 0.0034908940409809587, 5.0: 0.006070923934374664}"
