name,playcount,listeners,mbid,url,streamable,tags
Jimi Hendrix,78176832,2861019,06fb1c8b-566e-4cb2-985b-b467c90781d4,https://www.last.fm/music/Jimi+Hendrix,0,"classic rock, rock, blues"
AC/DC,142874939,2844346,66c662b6-6e2f-4930-8610-912e24c63ed1,https://www.last.fm/music/AC%2FDC,0,"hard rock, classic rock, rock"
Pearl Jam,153962020,2833475,83b9cbe7-9857-49e2-ab8e-b57b01038103,https://www.last.fm/music/Pearl+Jam,0,"Grunge, rock, alternative rock"
Depeche Mode,175608640,2812269,8538e728-ca0b-4321-b7e5-cff6565dd4c0,https://www.last.fm/music/Depeche+Mode,0,"electronic, new wave, 80s"
Chris Brown,55188023,2809188,c234fa42-e6a6-443e-937e-2f4b073538a3,https://www.last.fm/music/Chris+Brown,0,"rnb, Hip-Hop, Chris Brown"
Usher,42012306,2808202,3414d446-735a-443c-931f-10634f57e5b9,https://www.last.fm/music/Usher,0,"rnb, Hip-Hop, pop"
Avril Lavigne,124655565,2802896,0103c1cc-4a09-4a5d-a344-56ad99a77193,https://www.last.fm/music/Avril+Lavigne,0,"pop, pop rock, rock"
Bob Dylan,165533610,2799608,72c536dc-7137-4477-a521-567eeb840fa8,https://www.last.fm/music/Bob+Dylan,0,"folk, singer-songwriter, classic rock"
50 Cent,42799885,2786044,8e68819d-71be-4e7d-b41d-f1df81b01d3f,https://www.last.fm/music/50+Cent,0,"rap, Hip-Hop, Gangsta Rap"
The Kooks,115367075,2745793,f82f3a3e-29c2-42ca-b589-bc5dc210fa9e,https://www.last.fm/music/The+Kooks,0,"indie, indie rock, british"
Moby,98326686,2744905,8970d868-0723-483b-a75b-51088913d3d4,https://www.last.fm/music/Moby,0,"electronic, ambient, chillout"
Elton John,59393510,2713136,b83bc61f-8451-4a5d-8b8e-7e9ed295e822,https://www.last.fm/music/Elton+John,0,"pop, classic rock, singer-songwriter"
Placebo,194397302,2708956,979a39b4-2df9-4767-a3ca-7940e8aff05a,https://www.last.fm/music/Placebo,0,"alternative rock, alternative, rock"
OutKast,55430183,2693028,73fdb566-a9b1-494c-9f32-51768ec9fd27,https://www.last.fm/music/OutKast,0,"Hip-Hop, rap, funk"
Arcade Fire,192617837,2682885,52074ba6-e495-4ef3-9bb4-0703888a9f68,https://www.last.fm/music/Arcade+Fire,0,"indie, indie rock, alternative"
Paramore,202061163,2669451,728ea90d-279b-4201-a8c4-597830883150,https://www.last.fm/music/Paramore,0,"rock, pop punk, alternative"
Kid Cudi,83175555,2665855,e0e1db18-f7ba-4dee-95ff-7ae8cf545460,https://www.last.fm/music/Kid+Cudi,0,"Hip-Hop, rap, alternative rap"
Massive Attack,123026178,2662655,10adbe5e-a2c0-4bf3-8249-2b4cbf6e6ca8,https://www.last.fm/music/Massive+Attack,0,"trip-hop, electronic, chillout"
P!nk,75785915,2654708,f4d5cc07-3bc9-4836-9b15-88a08359bc63,https://www.last.fm/music/P%21nk,0,"pop, pop rock, female vocalists"
Amy Winehouse,100616581,2653523,dfe9a7c4-8cf2-47f4-9dcb-d233c2b86ec3,https://www.last.fm/music/Amy+Winehouse,0,"soul, jazz, female vocalists"
Ke$ha,103149183,2652888,fab34286-b8e1-4879-bce3-194e1358fbd2,https://www.last.fm/music/Ke$ha,0,"pop, dance, electropop"
Snoop Dogg,42442106,2648108,f90e8b26-9e52-4669-a5c9-e28529c47894,https://www.last.fm/music/Snoop+Dogg,0,"Hip-Hop, rap, Gangsta Rap"
Mariah Carey,92998373,2635755,494e8d09-f85b-4543-892f-a5096aed1cd4,https://www.last.fm/music/Mariah+Carey,0,"pop, rnb, female vocalists"
Korn,137794732,2634253,ac865b2e-bba8-4f5a-8756-dd40d5e39f46,https://www.last.fm/music/Korn,0,"Nu Metal, metal, alternative"
Yeah Yeah Yeahs,90057204,2590893,584c04d2-4acc-491b-8a0a-e63133f4bfc4,https://www.last.fm/music/Yeah+Yeah+Yeahs,0,"indie, indie rock, female vocalists"
John Mayer,119227260,2588618,8a81edd9-6f62-4ac7-afee-17dc0fec5fe7,https://www.last.fm/music/John+Mayer,0,"singer-songwriter, acoustic, rock"
The Beach Boys,77705845,2587810,ebfc1398-8d96-47e3-82c3-f782abcdb13d,https://www.last.fm/music/The+Beach+Boys,0,"classic rock, 60s, pop"
Queens of the Stone Age,150484716,2586041,7dc8f5bd-9d0b-4087-9f73-dc164950bbd8,https://www.last.fm/music/Queens+of+the+Stone+Age,0,"Stoner Rock, rock, alternative rock"
Black Sabbath,108873917,2577337,5182c1d9-c7d2-4dad-afa0-ccfeada921a8,https://www.last.fm/music/Black+Sabbath,0,"heavy metal, hard rock, classic rock"
Kelly Clarkson,68656556,2569225,d339efbb-77b9-4147-ba9e-59f2f24550b2,https://www.last.fm/music/Kelly+Clarkson,0,"pop, female vocalists, pop rock"
Florence + the Machine,182727236,2562222,5fee3020-513b-48c2-b1f7-4681b01db0c6,https://www.last.fm/music/Florence+%252B+the+Machine,0,"indie, female vocalists, alternative"
Papa Roach,82707837,2554076,c5eb9407-caeb-4303-b383-6929aa94021c,https://www.last.fm/music/Papa+Roach,0,"rock, Nu Metal, alternative rock"
Elvis Presley,76542229,2545168,01809552-4f87-45b0-afff-2c6f0730a3be,https://www.last.fm/music/Elvis+Presley,0,"rock n roll, classic rock, rock"
Frank Sinatra,72441183,2531084,197450cd-0124-4164-b723-3c22dd16494d,https://www.last.fm/music/Frank+Sinatra,0,"jazz, swing, oldies"
Taylor Swift,283199206,2530149,20244d07-534f-4eff-b4d4-930878889970,https://www.last.fm/music/Taylor+Swift,0,"country, pop, female vocalists"
My Chemical Romance,140857799,2529943,c07f0676-9143-4217-8a9f-4c26bd636f13,https://www.last.fm/music/My+Chemical+Romance,0,"rock, emo, alternative"
Shakira,75992143,2521196,bf24ca37-25f4-4e34-9aec-460b94364cfc,https://www.last.fm/music/Shakira,0,"pop, latin, female vocalists"
Eric Clapton,54280902,2517738,618b6900-0618-4f1e-b835-bccb17f84294,https://www.last.fm/music/Eric+Clapton,0,"classic rock, blues, rock"
Creedence Clearwater Revival,64409628,2500291,44c48a1b-defd-4222-bee6-03f9ee9a7be9,https://www.last.fm/music/Creedence+Clearwater+Revival,0,"classic rock, rock, Southern Rock"
Bon Jovi,68410209,2496225,5dcdb5eb-cb72-4e6e-9e63-b7bace604965,https://www.last.fm/music/Bon+Jovi,0,"rock, hard rock, classic rock"
